d-bar12|border-radius: var(--br12);
d-h96|height: var(--size96);
d-h0|height: var(--size0);
d-h1|height: var(--size1);
d-h2|height: var(--size2);
d-h4|height: var(--size4);
d-h6|height: var(--size6);
d-h8|height: var(--size8);
d-h-auto|height: auto;
d-h-unset|height: unset;
d-hmn100p|min-height: 100%;
d-hmn10p|min-height: 10%;
d-hmn20p|min-height: 20%;
d-hmn25p|min-height: 25%;
d-hmn30p|min-height: 30%;
d-hmn40p|min-height: 40%;
d-hmn50p|min-height: 50%;
d-hmn60p|min-height: 60%;
d-hmn70p|min-height: 70%;
d-hmn75p|min-height: 75%;
d-hmn80p|min-height: 80%;
d-hmn90p|min-height: 90%;
d-hmn1024|min-height: var(--size1024);
d-hmn1140|min-height: var(--size1140);
d-hmn1268|min-height: var(--size1268);
d-hmn1340|min-height: var(--size1340);
d-hmn102|min-height: var(--size102);
d-hmn114|min-height: var(--size114);
d-hmn128|min-height: var(--size128);
d-hmn164|min-height: var(--size164);
d-hmn216|min-height: var(--size216);
d-hmn264|min-height: var(--size264);
d-hmn332|min-height: var(--size332);
d-hmn464|min-height: var(--size464);
d-hmn512|min-height: var(--size512);
d-hmn628|min-height: var(--size628);
d-hmn764|min-height: var(--size764);
d-hmn828|min-height: var(--size828);
d-hmn912|min-height: var(--size912);
d-hmn12|min-height: var(--size12);
d-hmn16|min-height: var(--size16);
d-hmn24|min-height: var(--size24);
d-hmn32|min-height: var(--size32);
d-hmn42|min-height: var(--size42);
d-hmn48|min-height: var(--size48);
d-hmn64|min-height: var(--size64);
d-hmn72|min-height: var(--size72);
d-hmn84|min-height: var(--size84);
d-hmn96|min-height: var(--size96);
d-hmn0|min-height: var(--size0);
d-hmn1|min-height: var(--size1);
d-hmn2|min-height: var(--size2);
d-hmn4|min-height: var(--size4);
d-hmn6|min-height: var(--size6);
d-hmn8|min-height: var(--size8);
d-hmn-auto|min-height: auto;
d-hmn-unset|min-height: unset;
d-hmx100p|max-height: 100%;
d-hmx10p|max-height: 10%;
d-hmx20p|max-height: 20%;
d-hmx25p|max-height: 25%;
d-hmx30p|max-height: 30%;
d-hmx40p|max-height: 40%;
d-hmx50p|max-height: 50%;
d-hmx60p|max-height: 60%;
d-hmx70p|max-height: 70%;
d-hmx75p|max-height: 75%;
d-hmx80p|max-height: 80%;
d-hmx90p|max-height: 90%;
d-hmx1024|max-height: var(--size1024);
d-hmx1140|max-height: var(--size1140);
d-hmx1268|max-height: var(--size1268);
d-hmx1340|max-height: var(--size1340);
d-hmx102|max-height: var(--size102);
d-hmx114|max-height: var(--size114);
d-hmx128|max-height: var(--size128);
d-hmx164|max-height: var(--size164);
d-hmx216|max-height: var(--size216);
d-hmx264|max-height: var(--size264);
d-hmx332|max-height: var(--size332);
d-hmx464|max-height: var(--size464);
d-hmx512|max-height: var(--size512);
d-hmx628|max-height: var(--size628);
d-hmx764|max-height: var(--size764);
d-hmx828|max-height: var(--size828);
d-hmx912|max-height: var(--size912);
d-hmx12|max-height: var(--size12);
d-hmx16|max-height: var(--size16);
d-hmx24|max-height: var(--size24);
d-hmx32|max-height: var(--size32);
d-hmx42|max-height: var(--size42);
d-hmx48|max-height: var(--size48);
d-hmx64|max-height: var(--size64);
d-hmx72|max-height: var(--size72);
d-hmx84|max-height: var(--size84);
d-hmx96|max-height: var(--size96);
d-hmx0|max-height: var(--size0);
d-hmx1|max-height: var(--size1);
d-hmx2|max-height: var(--size2);
d-hmx4|max-height: var(--size4);
d-hmx6|max-height: var(--size6);
d-hmx8|max-height: var(--size8);
d-hmx-auto|max-height: auto;
d-hmx-unset|max-height: unset;
d-w100p|width: 100%;
d-w10p|width: 10%;
d-w20p|width: 20%;
d-w25p|width: 25%;
d-w30p|width: 30%;
d-w40p|width: 40%;
d-w50p|width: 50%;
d-w60p|width: 60%;
d-w70p|width: 70%;
d-w75p|width: 75%;
d-w80p|width: 80%;
d-w90p|width: 90%;
d-w60ch|width: 60ch;
d-w75ch|width: 75ch;
d-w90ch|width: 90ch;
d-w100vw|width: 100vw;
d-w1024|width: var(--size1024);
d-w1140|width: var(--size1140);
d-w1268|width: var(--size1268);
d-w1340|width: var(--size1340);
d-w102|width: var(--size102);
d-w114|width: var(--size114);
d-w128|width: var(--size128);
d-w164|width: var(--size164);
d-w216|width: var(--size216);
d-w264|width: var(--size264);
d-w332|width: var(--size332);
d-w464|width: var(--size464);
d-w512|width: var(--size512);
d-w628|width: var(--size628);
d-w764|width: var(--size764);
d-w828|width: var(--size828);
d-w912|width: var(--size912);
d-w12|width: var(--size12);
d-w16|width: var(--size16);
d-w24|width: var(--size24);
d-w32|width: var(--size32);
d-w42|width: var(--size42);
d-w48|width: var(--size48);
d-w64|width: var(--size64);
d-w72|width: var(--size72);
d-w84|width: var(--size84);
d-w96|width: var(--size96);
d-w0|width: var(--size0);
d-w1|width: var(--size1);
d-w2|width: var(--size2);
d-w4|width: var(--size4);
d-w6|width: var(--size6);
d-w8|width: var(--size8);
d-w-auto|width: auto;
d-w-unset|width: unset;
d-wmn100p|min-width: 100%;
d-wmn10p|min-width: 10%;
d-wmn20p|min-width: 20%;
d-wmn25p|min-width: 25%;
d-wmn30p|min-width: 30%;
d-wmn40p|min-width: 40%;
d-wmn50p|min-width: 50%;
d-wmn60p|min-width: 60%;
d-wmn70p|min-width: 70%;
d-wmn75p|min-width: 75%;
d-wmn80p|min-width: 80%;
d-wmn90p|min-width: 90%;
d-wmn60ch|min-width: 60ch;
d-wmn75ch|min-width: 75ch;
d-wmn90ch|min-width: 90ch;
d-wmn1024|min-width: var(--size1024);
d-wmn1140|min-width: var(--size1140);
d-wmn1268|min-width: var(--size1268);
d-wmn1340|min-width: var(--size1340);
d-wmn102|min-width: var(--size102);
d-wmn114|min-width: var(--size114);
d-wmn128|min-width: var(--size128);
d-wmn164|min-width: var(--size164);
d-wmn216|min-width: var(--size216);
d-wmn264|min-width: var(--size264);
d-wmn332|min-width: var(--size332);
d-wmn464|min-width: var(--size464);
d-wmn512|min-width: var(--size512);
d-wmn628|min-width: var(--size628);
d-wmn764|min-width: var(--size764);
d-wmn828|min-width: var(--size828);
d-wmn912|min-width: var(--size912);
d-wmn12|min-width: var(--size12);
d-wmn16|min-width: var(--size16);
d-wmn24|min-width: var(--size24);
d-wmn32|min-width: var(--size32);
d-wmn42|min-width: var(--size42);
d-wmn48|min-width: var(--size48);
d-wmn64|min-width: var(--size64);
d-wmn72|min-width: var(--size72);
d-wmn84|min-width: var(--size84);
d-wmn96|min-width: var(--size96);
d-wmn0|min-width: var(--size0);
d-wmn1|min-width: var(--size1);
d-wmn2|min-width: var(--size2);
d-wmn4|min-width: var(--size4);
d-wmn6|min-width: var(--size6);
d-wmn8|min-width: var(--size8);
d-wmn-auto|min-width: auto;
d-wmn-unset|min-width: unset;
d-wmx100p|max-width: 100%;
d-wmx10p|max-width: 10%;
d-wmx20p|max-width: 20%;
d-wmx25p|max-width: 25%;
d-wmx30p|max-width: 30%;
d-wmx40p|max-width: 40%;
d-wmx50p|max-width: 50%;
d-wmx60p|max-width: 60%;
d-wmx70p|max-width: 70%;
d-wmx75p|max-width: 75%;
d-wmx80p|max-width: 80%;
d-wmx90p|max-width: 90%;
d-wmx60ch|max-width: 60ch;
d-wmx75ch|max-width: 75ch;
d-wmx90ch|max-width: 90ch;
d-wmx1024|max-width: var(--size1024);
d-wmx1140|max-width: var(--size1140);
d-wmx1268|max-width: var(--size1268);
d-wmx1340|max-width: var(--size1340);
d-wmx102|max-width: var(--size102);
d-wmx114|max-width: var(--size114);
d-wmx128|max-width: var(--size128);
d-wmx164|max-width: var(--size164);
d-wmx216|max-width: var(--size216);
d-wmx264|max-width: var(--size264);
d-wmx332|max-width: var(--size332);
d-wmx464|max-width: var(--size464);
d-wmx512|max-width: var(--size512);
d-wmx628|max-width: var(--size628);
d-wmx764|max-width: var(--size764);
d-wmx828|max-width: var(--size828);
d-wmx912|max-width: var(--size912);
d-wmx12|max-width: var(--size12);
d-wmx16|max-width: var(--size16);
d-wmx24|max-width: var(--size24);
d-wmx32|max-width: var(--size32);
d-wmx42|max-width: var(--size42);
d-wmx48|max-width: var(--size48);
d-wmx64|max-width: var(--size64);
d-wmx72|max-width: var(--size72);
d-wmx84|max-width: var(--size84);
d-wmx96|max-width: var(--size96);
d-wmx0|max-width: var(--size0);
d-wmx1|max-width: var(--size1);
d-wmx2|max-width: var(--size2);
d-wmx4|max-width: var(--size4);
d-wmx6|max-width: var(--size6);
d-wmx8|max-width: var(--size8);
d-wmx-auto|max-width: auto;
d-wmx-unset|max-width: unset;
d-m12|margin: var(--su12) !important;
d-m16|margin: var(--su16) !important;
d-m24|margin: var(--su24) !important;
d-m32|margin: var(--su32) !important;
d-m48|margin: var(--su48) !important;
d-m64|margin: var(--su64) !important;
d-m0|margin: var(--su0) !important;
d-m1|margin: var(--su1) !important;
d-m2|margin: var(--su2) !important;
d-m4|margin: var(--su4) !important;
d-m6|margin: var(--su6) !important;
d-m8|margin: var(--su8) !important;
d-m-auto|margin: auto !important;
d-m-unset|margin: unset !important;
d-mt12|margin-top: var(--su12) !important;
d-mt16|margin-top: var(--su16) !important;
d-mt24|margin-top: var(--su24) !important;
d-mt32|margin-top: var(--su32) !important;
d-mt48|margin-top: var(--su48) !important;
d-mt64|margin-top: var(--su64) !important;
d-mt0|margin-top: var(--su0) !important;
d-mt1|margin-top: var(--su1) !important;
d-mt2|margin-top: var(--su2) !important;
d-mt4|margin-top: var(--su4) !important;
d-mt6|margin-top: var(--su6) !important;
d-mt8|margin-top: var(--su8) !important;
d-mt-auto|margin-top: auto !important;
d-mt-unset|margin-top: unset !important;
d-mr12|margin-right: var(--su12) !important;
d-mr16|margin-right: var(--su16) !important;
d-mr24|margin-right: var(--su24) !important;
d-mr32|margin-right: var(--su32) !important;
d-mr48|margin-right: var(--su48) !important;
d-mr64|margin-right: var(--su64) !important;
d-mr0|margin-right: var(--su0) !important;
d-mr1|margin-right: var(--su1) !important;
d-mr2|margin-right: var(--su2) !important;
d-mr4|margin-right: var(--su4) !important;
d-mr6|margin-right: var(--su6) !important;
d-mr8|margin-right: var(--su8) !important;
d-mr-auto|margin-right: auto !important;
d-mr-unset|margin-right: unset !important;
d-mb12|margin-bottom: var(--su12) !important;
d-mb16|margin-bottom: var(--su16) !important;
d-mb24|margin-bottom: var(--su24) !important;
d-mb32|margin-bottom: var(--su32) !important;
d-mb48|margin-bottom: var(--su48) !important;
d-mb64|margin-bottom: var(--su64) !important;
d-mb0|margin-bottom: var(--su0) !important;
d-mb1|margin-bottom: var(--su1) !important;
d-mb2|margin-bottom: var(--su2) !important;
d-mb4|margin-bottom: var(--su4) !important;
d-mb6|margin-bottom: var(--su6) !important;
d-mb8|margin-bottom: var(--su8) !important;
d-mb-auto|margin-bottom: auto !important;
d-mb-unset|margin-bottom: unset !important;
d-ml12|margin-left: var(--su12) !important;
d-ml16|margin-left: var(--su16) !important;
d-ml24|margin-left: var(--su24) !important;
d-ml32|margin-left: var(--su32) !important;
d-ml48|margin-left: var(--su48) !important;
d-ml64|margin-left: var(--su64) !important;
d-ml0|margin-left: var(--su0) !important;
d-ml1|margin-left: var(--su1) !important;
d-ml2|margin-left: var(--su2) !important;
d-ml4|margin-left: var(--su4) !important;
d-ml6|margin-left: var(--su6) !important;
d-ml8|margin-left: var(--su8) !important;
d-ml-auto|margin-left: auto !important;
d-ml-unset|margin-left: unset !important;
d-mx12|margin-right: var(--su12) !important; margin-left: var(--su12) !important;
d-mx16|margin-right: var(--su16) !important; margin-left: var(--su16) !important;
d-mx24|margin-right: var(--su24) !important; margin-left: var(--su24) !important;
d-mx32|margin-right: var(--su32) !important; margin-left: var(--su32) !important;
d-mx48|margin-right: var(--su48) !important; margin-left: var(--su48) !important;
d-mx64|margin-right: var(--su64) !important; margin-left: var(--su64) !important;
d-mx0|margin-right: var(--su0) !important; margin-left: var(--su0) !important;
d-mx1|margin-right: var(--su1) !important; margin-left: var(--su1) !important;
d-mx2|margin-right: var(--su2) !important; margin-left: var(--su2) !important;
d-mx4|margin-right: var(--su4) !important; margin-left: var(--su4) !important;
d-mx6|margin-right: var(--su6) !important; margin-left: var(--su6) !important;
d-mx8|margin-right: var(--su8) !important; margin-left: var(--su8) !important;
d-mx-auto|margin-right: auto !important; margin-left: auto !important;
d-mx-unset|margin-right: unset !important; margin-left: unset !important;
d-my12|margin-top: var(--su12) !important; margin-bottom: var(--su12) !important;
d-my16|margin-top: var(--su16) !important; margin-bottom: var(--su16) !important;
d-my24|margin-top: var(--su24) !important; margin-bottom: var(--su24) !important;
d-my32|margin-top: var(--su32) !important; margin-bottom: var(--su32) !important;
d-my48|margin-top: var(--su48) !important; margin-bottom: var(--su48) !important;
d-my64|margin-top: var(--su64) !important; margin-bottom: var(--su64) !important;
d-my0|margin-top: var(--su0) !important; margin-bottom: var(--su0) !important;
d-my1|margin-top: var(--su1) !important; margin-bottom: var(--su1) !important;
d-my2|margin-top: var(--su2) !important; margin-bottom: var(--su2) !important;
d-my4|margin-top: var(--su4) !important; margin-bottom: var(--su4) !important;
d-my6|margin-top: var(--su6) !important; margin-bottom: var(--su6) !important;
d-my8|margin-top: var(--su8) !important; margin-bottom: var(--su8) !important;
d-my-auto|margin-top: auto !important; margin-bottom: auto !important;
d-my-unset|margin-top: unset !important; margin-bottom: unset !important;
d-mn12|margin: var(--sun12) !important;
d-mn16|margin: var(--sun16) !important;
d-mn24|margin: var(--sun24) !important;
d-mn32|margin: var(--sun32) !important;
d-mn48|margin: var(--sun48) !important;
d-mn64|margin: var(--sun64) !important;
d-mn1|margin: var(--sun1) !important;
d-mn2|margin: var(--sun2) !important;
d-mn4|margin: var(--sun4) !important;
d-mn6|margin: var(--sun6) !important;
d-mn8|margin: var(--sun8) !important;
d-mtn12|margin-top: var(--sun12) !important;
d-mtn16|margin-top: var(--sun16) !important;
d-mtn24|margin-top: var(--sun24) !important;
d-mtn32|margin-top: var(--sun32) !important;
d-mtn48|margin-top: var(--sun48) !important;
d-mtn64|margin-top: var(--sun64) !important;
d-mtn1|margin-top: var(--sun1) !important;
d-mtn2|margin-top: var(--sun2) !important;
d-mtn4|margin-top: var(--sun4) !important;
d-mtn6|margin-top: var(--sun6) !important;
d-mtn8|margin-top: var(--sun8) !important;
d-mrn12|margin-right: var(--sun12) !important;
d-mrn16|margin-right: var(--sun16) !important;
d-mrn24|margin-right: var(--sun24) !important;
d-mrn32|margin-right: var(--sun32) !important;
d-mrn48|margin-right: var(--sun48) !important;
d-mrn64|margin-right: var(--sun64) !important;
d-mrn1|margin-right: var(--sun1) !important;
d-mrn2|margin-right: var(--sun2) !important;
d-mrn4|margin-right: var(--sun4) !important;
d-mrn6|margin-right: var(--sun6) !important;
d-mrn8|margin-right: var(--sun8) !important;
d-mbn12|margin-bottom: var(--sun12) !important;
d-mbn16|margin-bottom: var(--sun16) !important;
d-mbn24|margin-bottom: var(--sun24) !important;
d-mbn32|margin-bottom: var(--sun32) !important;
d-mbn48|margin-bottom: var(--sun48) !important;
d-mbn64|margin-bottom: var(--sun64) !important;
d-mbn1|margin-bottom: var(--sun1) !important;
d-mbn2|margin-bottom: var(--sun2) !important;
d-mbn4|margin-bottom: var(--sun4) !important;
d-mbn6|margin-bottom: var(--sun6) !important;
d-mbn8|margin-bottom: var(--sun8) !important;
d-mln12|margin-left: var(--sun12) !important;
d-mln16|margin-left: var(--sun16) !important;
d-mln24|margin-left: var(--sun24) !important;
d-mln32|margin-left: var(--sun32) !important;
d-mln48|margin-left: var(--sun48) !important;
d-mln64|margin-left: var(--sun64) !important;
d-mln1|margin-left: var(--sun1) !important;
d-mln2|margin-left: var(--sun2) !important;
d-mln4|margin-left: var(--sun4) !important;
d-mln6|margin-left: var(--sun6) !important;
d-mln8|margin-left: var(--sun8) !important;
d-mxn12|margin-right: var(--sun12) !important; margin-left: var(--sun12) !important;
d-mxn16|margin-right: var(--sun16) !important; margin-left: var(--sun16) !important;
d-mxn24|margin-right: var(--sun24) !important; margin-left: var(--sun24) !important;
d-mxn32|margin-right: var(--sun32) !important; margin-left: var(--sun32) !important;
d-mxn48|margin-right: var(--sun48) !important; margin-left: var(--sun48) !important;
d-mxn64|margin-right: var(--sun64) !important; margin-left: var(--sun64) !important;
d-mxn1|margin-right: var(--sun1) !important; margin-left: var(--sun1) !important;
d-mxn2|margin-right: var(--sun2) !important; margin-left: var(--sun2) !important;
d-mxn4|margin-right: var(--sun4) !important; margin-left: var(--sun4) !important;
d-mxn6|margin-right: var(--sun6) !important; margin-left: var(--sun6) !important;
d-mxn8|margin-right: var(--sun8) !important; margin-left: var(--sun8) !important;
d-myn12|margin-top: var(--sun12) !important; margin-bottom: var(--sun12) !important;
d-myn16|margin-top: var(--sun16) !important; margin-bottom: var(--sun16) !important;
d-myn24|margin-top: var(--sun24) !important; margin-bottom: var(--sun24) !important;
d-myn32|margin-top: var(--sun32) !important; margin-bottom: var(--sun32) !important;
d-myn48|margin-top: var(--sun48) !important; margin-bottom: var(--sun48) !important;
d-myn64|margin-top: var(--sun64) !important; margin-bottom: var(--sun64) !important;
d-myn1|margin-top: var(--sun1) !important; margin-bottom: var(--sun1) !important;
d-myn2|margin-top: var(--sun2) !important; margin-bottom: var(--sun2) !important;
d-myn4|margin-top: var(--sun4) !important; margin-bottom: var(--sun4) !important;
d-myn6|margin-top: var(--sun6) !important; margin-bottom: var(--sun6) !important;
d-myn8|margin-top: var(--sun8) !important; margin-bottom: var(--sun8) !important;
d-p12|padding: var(--su12) !important;
d-p16|padding: var(--su16) !important;
d-p24|padding: var(--su24) !important;
d-p32|padding: var(--su32) !important;
d-p48|padding: var(--su48) !important;
d-p64|padding: var(--su64) !important;
d-p0|padding: var(--su0) !important;
d-p1|padding: var(--su1) !important;
d-p2|padding: var(--su2) !important;
d-p4|padding: var(--su4) !important;
d-p6|padding: var(--su6) !important;
d-p8|padding: var(--su8) !important;
d-p-unset|padding: unset !important;
d-pt12|padding-top: var(--su12) !important;
d-pt16|padding-top: var(--su16) !important;
d-pt24|padding-top: var(--su24) !important;
d-pt32|padding-top: var(--su32) !important;
d-pt48|padding-top: var(--su48) !important;
d-pt64|padding-top: var(--su64) !important;
d-pt0|padding-top: var(--su0) !important;
d-pt1|padding-top: var(--su1) !important;
d-pt2|padding-top: var(--su2) !important;
d-pt4|padding-top: var(--su4) !important;
d-pt6|padding-top: var(--su6) !important;
d-pt8|padding-top: var(--su8) !important;
d-pt-unset|padding-top: unset !important;
d-pr12|padding-right: var(--su12) !important;
d-pr16|padding-right: var(--su16) !important;
d-pr24|padding-right: var(--su24) !important;
d-pr32|padding-right: var(--su32) !important;
d-pr48|padding-right: var(--su48) !important;
d-pr64|padding-right: var(--su64) !important;
d-pr0|padding-right: var(--su0) !important;
d-pr1|padding-right: var(--su1) !important;
d-pr2|padding-right: var(--su2) !important;
d-pr4|padding-right: var(--su4) !important;
d-pr6|padding-right: var(--su6) !important;
d-pr8|padding-right: var(--su8) !important;
d-pr-unset|padding-right: unset !important;
d-pb12|padding-bottom: var(--su12) !important;
d-pb16|padding-bottom: var(--su16) !important;
d-pb24|padding-bottom: var(--su24) !important;
d-pb32|padding-bottom: var(--su32) !important;
d-pb48|padding-bottom: var(--su48) !important;
d-pb64|padding-bottom: var(--su64) !important;
d-pb0|padding-bottom: var(--su0) !important;
d-pb1|padding-bottom: var(--su1) !important;
d-pb2|padding-bottom: var(--su2) !important;
d-pb4|padding-bottom: var(--su4) !important;
d-pb6|padding-bottom: var(--su6) !important;
d-pb8|padding-bottom: var(--su8) !important;
d-pb-unset|padding-bottom: unset !important;
d-pl12|padding-left: var(--su12) !important;
d-pl16|padding-left: var(--su16) !important;
d-pl24|padding-left: var(--su24) !important;
d-pl32|padding-left: var(--su32) !important;
d-pl48|padding-left: var(--su48) !important;
d-pl64|padding-left: var(--su64) !important;
d-pl0|padding-left: var(--su0) !important;
d-pl1|padding-left: var(--su1) !important;
d-pl2|padding-left: var(--su2) !important;
d-pl4|padding-left: var(--su4) !important;
d-pl6|padding-left: var(--su6) !important;
d-pl8|padding-left: var(--su8) !important;
d-pl-unset|padding-left: unset !important;
d-px12|padding-right: var(--su12) !important; padding-left: var(--su12) !important;
d-px16|padding-right: var(--su16) !important; padding-left: var(--su16) !important;
d-px24|padding-right: var(--su24) !important; padding-left: var(--su24) !important;
d-px32|padding-right: var(--su32) !important; padding-left: var(--su32) !important;
d-px48|padding-right: var(--su48) !important; padding-left: var(--su48) !important;
d-px64|padding-right: var(--su64) !important; padding-left: var(--su64) !important;
d-px0|padding-right: var(--su0) !important; padding-left: var(--su0) !important;
d-px1|padding-right: var(--su1) !important; padding-left: var(--su1) !important;
d-px2|padding-right: var(--su2) !important; padding-left: var(--su2) !important;
d-px4|padding-right: var(--su4) !important; padding-left: var(--su4) !important;
d-px6|padding-right: var(--su6) !important; padding-left: var(--su6) !important;
d-px8|padding-right: var(--su8) !important; padding-left: var(--su8) !important;
d-px-unset|padding-right: unset !important; padding-left: unset !important;
d-py12|padding-top: var(--su12) !important; padding-bottom: var(--su12) !important;
d-py16|padding-top: var(--su16) !important; padding-bottom: var(--su16) !important;
d-py24|padding-top: var(--su24) !important; padding-bottom: var(--su24) !important;
d-py32|padding-top: var(--su32) !important; padding-bottom: var(--su32) !important;
d-py48|padding-top: var(--su48) !important; padding-bottom: var(--su48) !important;
d-py64|padding-top: var(--su64) !important; padding-bottom: var(--su64) !important;
d-py0|padding-top: var(--su0) !important; padding-bottom: var(--su0) !important;
d-py1|padding-top: var(--su1) !important; padding-bottom: var(--su1) !important;
d-py2|padding-top: var(--su2) !important; padding-bottom: var(--su2) !important;
d-py4|padding-top: var(--su4) !important; padding-bottom: var(--su4) !important;
d-py6|padding-top: var(--su6) !important; padding-bottom: var(--su6) !important;
d-py8|padding-top: var(--su8) !important; padding-bottom: var(--su8) !important;
d-py-unset|padding-top: unset !important; padding-bottom: unset !important;
d-ba|border: var(--su1) solid currentColor;
d-bt|border-top: var(--su1) solid currentColor;
d-br|border-right: var(--su1) solid currentColor;
d-bb|border-bottom: var(--su1) solid currentColor;
d-bl|border-left: var(--su1) solid currentColor;
d-bx|border-right: var(--su1) solid currentColor; border-left: var(--su1) solid currentColor;
d-by|border-top: var(--su1) solid currentColor; border-bottom: var(--su1) solid currentColor;
